No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
258,ayam woku mangkuk,ayam,391,kentang ubi nasi merah nasi putih,menu chicken woku bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat
259,ayam panggang sambal matah lengkap,ayam,359,kentang nasi merah nasi putih,menu chicken grill sambal matah lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang,"ayam panggang sambal matah lengkap menu chicken grill sambal matah lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam panggang",ayam panggang sambal matah lengkap menu chicken grill sambal matah lengkap yang sehat dan lezat
260,ayam lada hitam telur tortila paket,ayam,449,jagung nasi merah nasi putih,menu chicken blackpepper egg tortila box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam blackpepper,"ayam lada hitam telur tortila paket menu chicken blackpepper egg tortila box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam blackpepper",ayam lada hitam telur tortila paket menu chicken blackpepper egg tortila box yang sehat dan lezat
261,ayam bakar padang spesial,ayam,360,kentang nasi merah nasi putih,menu ayam bakar padang spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang,"ayam bakar padang spesial menu ayam bakar padang spesial yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam panggang",ayam bakar padang spesial menu ayam bakar padang spesial yang sehat dan lezat
262,ayam maranggi spesial,ayam,434,jagung nasi merah nasi putih,menu ayam maranggi spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat
263,ayam lada hitam sehat,ayam,449,jagung nasi merah kentang,menu chicken blackpepper healthy yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam blackpepper,"ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat jagung, kentang, nasi merah protein ayam blackpepper",ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat
264,dori katsu saus asam manis sehat,ikan,436,jagung nasi merah nasi putih,menu dori katsu saus asam manis healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan manis,"dori katsu saus asam manis sehat menu dori katsu saus asam manis healthy yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan manis",dori katsu saus asam manis sehat menu dori katsu saus asam manis healthy yang sehat dan lezat
265,ayam maranggi paket,ayam,395,kentang ubi nasi merah nasi putih,menu ayam maranggi box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam maranggi paket menu ayam maranggi box yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam maranggi paket menu ayam maranggi box yang sehat dan lezat
266,bola daging teriyaki paket,sapi,355,kentang nasi merah nasi putih,menu bola daging teriyaki box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi teriyaki,"bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi teriyaki",bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat
267,sapi cabe garam mangkuk,sapi,373,kentang nasi merah nasi putih,menu sapi cabe garam bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi cabe garam mangkuk menu sapi cabe garam bowl yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",sapi cabe garam mangkuk menu sapi cabe garam bowl yang sehat dan lezat
268,sapi burger diet,sapi,370,jagung nasi merah nasi putih,menu beef burger diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sapi burger diet menu beef burger diet yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",sapi burger diet menu beef burger diet yang sehat dan lezat
269,sapi bulgogi sehat,sapi,370,kentang nasi merah nasi putih,menu beef bulgogi healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi bulgogi sehat menu beef bulgogi healthy yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",sapi bulgogi sehat menu beef bulgogi healthy yang sehat dan lezat
270,dori sambal ijo paket,ikan,356,kentang nasi merah nasi putih,menu dori sambal ijo box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"dori sambal ijo paket menu dori sambal ijo box yang sehat dan lezat kentang, nasi merah, nasi putih protein ikan",dori sambal ijo paket menu dori sambal ijo box yang sehat dan lezat
271,japanese sapi gyudon dengan nasi merah spesial,sapi,391,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"japanese sapi gyudon dengan nasi merah spesial menu japanese beef gyudon with brown rice spesial yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",japanese sapi gyudon dengan nasi merah spesial menu japanese beef gyudon with brown rice spesial yang sehat dan lezat
272,ayam serundeng sehat,ayam,449,kentang nasi merah nasi putih,menu ayam serundeng healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam serundeng sehat menu ayam serundeng healthy yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam serundeng sehat menu ayam serundeng healthy yang sehat dan lezat
273,ayam teriyaki panggang lengkap,ayam,427,kentang ubi nasi merah nasi putih,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang teriyaki,"ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam panggang teriyaki",ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat
274,ayam madu sehat,ayam,360,kentang ubi nasi merah nasi putih,menu chicken honey healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam madu sehat menu chicken honey healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam madu sehat menu chicken honey healthy yang sehat dan lezat
275,panggang ayam madu premium,ayam,362,kentang nasi merah nasi putih,menu baked chicken honey premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang,"panggang ayam madu premium menu baked chicken honey premium yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam panggang",panggang ayam madu premium menu baked chicken honey premium yang sehat dan lezat
276,soto ayam spesial diet,ayam,423,kentang nasi merah nasi putih,menu soto ayam spesial diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat
277,panggang ayam dengan lemonilo sehat,ayam,395,kentang ubi nasi merah nasi putih,menu grilled chicken with lemonilo healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam panggang",panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat
278,ayam bola krispi premium,ayam,364,kentang ubi nasi merah nasi putih,menu chicken ball crispy premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam bola krispi premium menu chicken ball crispy premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam bola krispi premium menu chicken ball crispy premium yang sehat dan lezat
279,dori oat saus wijen premium,ikan,398,jagung nasi merah nasi putih,menu dori oat saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat
280,ayam saus mentega diet,ayam,362,jagung nasi merah nasi putih,menu ayam saus mentega diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat
281,dori oat saus asam manis diet,ikan,379,kentang nasi merah nasi putih,menu dori oat saus asam manis diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan manis,"dori oat saus asam manis diet menu dori oat saus asam manis diet yang sehat dan lezat kentang, nasi merah, nasi putih protein ikan manis",dori oat saus asam manis diet menu dori oat saus asam manis diet yang sehat dan lezat
282,rawon surabaya lengkap,sapi,434,jagung nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",,"rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat jagung, nasi merah, nasi putih",rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat
283,opor ayam tanpa santan lengkap,ayam,379,kentang ubi nasi merah nasi putih,menu opor ayam tanpa santan lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat
284,ayam bola lada hitam paket,ayam,449,jagung nasi merah nasi putih,menu chicken ball blackpepper box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam blackpepper,"ayam bola lada hitam paket menu chicken ball blackpepper box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam blackpepper",ayam bola lada hitam paket menu chicken ball blackpepper box yang sehat dan lezat
285,sempol ayam panggang mangkuk,ayam,434,kentang ubi nasi merah nasi putih,menu sempol ayam grill bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam panggang",sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat
286,dori katsu balado premium,ikan,436,jagung nasi merah nasi putih,menu dori katsu balado premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori katsu balado premium menu dori katsu balado premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori katsu balado premium menu dori katsu balado premium yang sehat dan lezat
287,panggang ayam dietgo sehat,ayam,395,kentang ubi nasi merah nasi putih,menu grilled chicken dietgo healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"panggang ayam dietgo sehat menu grilled chicken dietgo healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam panggang",panggang ayam dietgo sehat menu grilled chicken dietgo healthy yang sehat dan lezat
288,pasta aglio eolio dori stik diet,ikan,428,jagung nasi merah nasi putih,menu pasta aglio eolio dori stick diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat
289,sapi cabe garam lengkap,sapi,423,kentang nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat
290,soto bandung sehat,ayam,428,jagung nasi merah nasi putih,menu soto bandung healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",,"soto bandung sehat menu soto bandung healthy yang sehat dan lezat jagung, nasi merah, nasi putih",soto bandung sehat menu soto bandung healthy yang sehat dan lezat
291,dengan nasi merah sehat,ayam,368,kentang ubi nasi merah nasi putih,menu with brown rice healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",,"dengan nasi merah sehat menu with brown rice healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi",dengan nasi merah sehat menu with brown rice healthy yang sehat dan lezat
292,dori stik premium,ikan,398,jagung nasi merah nasi putih,menu dori stick premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori stik premium menu dori stick premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori stik premium menu dori stick premium yang sehat dan lezat
293,ayam sambel geprek mangkuk,ayam,418,kentang nasi merah nasi putih,menu ayam sambel geprek bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat
294,sapi yakiniku spesial,sapi,355,kentang nasi merah nasi putih,menu beef yakiniku spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat
295,soto ayam spesial spesial,ayam,351,kentang nasi merah nasi putih,menu soto ayam spesial spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat
296,sei sapi dengan potatoes diet,sapi,368,jagung nasi merah nasi putih,menu sei sapi with potatoes diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat
297,sei sapi dengan lemonilo premium,sapi,427,kentang ubi nasi merah nasi putih,menu sei sapi with lemonilo premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi",sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat
298,ayam rempah panggang telur tortila mangkuk,ayam,419,jagung nasi merah nasi putih,menu chicken herbs grill egg tortila bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam panggang,"ayam rempah panggang telur tortila mangkuk menu chicken herbs grill egg tortila bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam panggang",ayam rempah panggang telur tortila mangkuk menu chicken herbs grill egg tortila bowl yang sehat dan lezat
299,sei ayam dengan potatoes premium,ayam,391,jagung nasi merah kentang,menu sei ayam with potatoes premium yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam,"sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat jagung, kentang, nasi merah protein ayam",sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat
300,ikan stik saus wijen premium,ikan,360,jagung nasi merah nasi putih,menu fish stick saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat
301,spageti ayam geprek,ayam,548,pasta,menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,spageti ayam geprek menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,spageti ayam geprek menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi
302,sehat japanese sushi roll,ayam,546,nasi merah,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi nasi merah,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi
303,telur mata sapi balado spesial,sapi,527,pasta,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi
304,salmon red thai kari yellowfit,ikan,538,pasta,menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ikan,salmon red thai kari yellowfit menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi  protein ikan,salmon red thai kari yellowfit menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi
305,ayam asam manis sehat,ayam,536,nasi merah,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi
306,piza fit,ayam,527,pasta,menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi,[],,,piza fit menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi,piza fit menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi
307,ayam goreng kunyit,ayam,509,nasi merah,menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam goreng,ayam goreng kunyit menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam goreng,ayam goreng kunyit menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi
308,ayam goreng kunyit yellowfit,ayam,517,jagung,menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,protein ayam goreng,ayam goreng kunyit yellowfit menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi jagung protein ayam goreng,ayam goreng kunyit yellowfit menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi
309,khao soi noodle super,ayam,471,jagung,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi jagung,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi
310,ayam soy garlic yangnyeom super,ayam,544,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi
311,udang cake thailand saus,ikan,536,nasi merah,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi nasi merah,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi
312,opor susu legenda istimewa,ayam,451,nasi putih,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi
313,mac diet panas spesial,ayam,527,nasi merah,menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,mac diet panas spesial menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi nasi merah,mac diet panas spesial menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi
314,sehat oseng mercon sapi,sapi,507,nasi hitam,menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,sehat oseng mercon sapi menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,sehat oseng mercon sapi menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi
315,panggang ikan mozaru,ikan,537,pasta,menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ikan panggang,panggang ikan mozaru menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi  protein ikan panggang,panggang ikan mozaru menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi
316,thai coconut kari baby corn chef s choice,ayam,549,jagung,menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,,thai coconut kari baby corn chef s choice menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi jagung,thai coconut kari baby corn chef s choice menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi
317,ayam betutu sambal matah,ayam,546,pasta,menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam betutu sambal matah menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam betutu sambal matah menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi
318,japanese sapi teriyaki bread super,sapi,542,nasi putih,menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein sapi teriyaki,japanese sapi teriyaki bread super menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein sapi teriyaki,japanese sapi teriyaki bread super menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi
319,hamburg stik saus teriyaki,ayam,546,nasi putih,menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,teriyaki,hamburg stik saus teriyaki menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi nasi putih teriyaki,hamburg stik saus teriyaki menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi
320,sehat japanese sushi roll yellowfit,ayam,528,nasi putih,menu healthy japanese sushi roll yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,,sehat japanese sushi roll yellowfit menu healthy japanese sushi roll yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi putih,sehat japanese sushi roll yellowfit menu healthy japanese sushi roll yellowfit ala yellow fit kitchen rendah kalori dan bergizi
321,thai coconut kari baby corn khas,ayam,504,nasi merah,menu thai coconut curry baby corn signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,thai coconut kari baby corn khas menu thai coconut curry baby corn signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah,thai coconut kari baby corn khas menu thai coconut curry baby corn signature ala yellow fit kitchen rendah kalori dan bergizi
322,ayam betutu sambal matah yellowfit,ayam,548,nasi kuning,menu ayam betutu sambal matah yellowfit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam betutu sambal matah yellowfit menu ayam betutu sambal matah yellowfit ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam betutu sambal matah yellowfit menu ayam betutu sambal matah yellowfit ala yellow fit kitchen rendah kalori dan bergizi
323,opor susu legenda spesial,ayam,511,nasi merah,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi nasi merah,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi
324,ayam soy garlic yangnyeom istimewa,ayam,524,nasi merah,menu chicken soy garlic yangnyeom deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ayam soy garlic yangnyeom istimewa menu chicken soy garlic yangnyeom deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ayam soy garlic yangnyeom istimewa menu chicken soy garlic yangnyeom deluxe ala yellow fit kitchen rendah kalori dan bergizi
325,mac diet panas spesial yellowfit,ayam,525,nasi putih,menu mac diet panas special yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,,mac diet panas spesial yellowfit menu mac diet panas special yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi putih,mac diet panas spesial yellowfit menu mac diet panas special yellowfit ala yellow fit kitchen rendah kalori dan bergizi
326,torikatsu ayam ramen spesial,ayam,520,nasi merah,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi
327,hamburg stik saus teriyaki chef s choice,ayam,522,nasi merah,menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,teriyaki,hamburg stik saus teriyaki chef s choice menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah teriyaki,hamburg stik saus teriyaki chef s choice menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi
