No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
255,Dengan Nasi Merah Paket,ayam,418,jagung nasi merah nasi putih,menu with brown rice box yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",with brown rice box lainnya jagung nasi merah nasi putih menu with brown rice box yang sehat dan lezat,"jagung, nasi merah, nasi putih",dengan nasi merah paket,menu with brown rice box yang sehat dan lezat,,dengan nasi merah paket ayam jagung putih nasi merah menu with brown rice box yang sehat dan lezat ,dengan nasi merah paket menu with brown rice box yang sehat dan lezat nasi putih jagung merah ,dengan nasi merah paket menu with brown rice box yang sehat dan lezat
256,Ayam Patty Krispi Mangkuk,ayam,449,jagung nasi merah nasi putih,menu chicken patty crispy bowl yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken patty crispy bowl ayam jagung nasi merah nasi putih menu chicken patty crispy bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam patty krispi mangkuk,menu chicken patty crispy bowl yang sehat dan lezat,protein_ayam,ayam patty krispi mangkuk ayam jagung putih nasi merah menu chicken patty crispy bowl yang sehat dan lezat protein_ayam,ayam patty krispi mangkuk menu chicken patty crispy bowl yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam patty krispi mangkuk menu chicken patty crispy bowl yang sehat dan lezat
257,Sapi Cabe Garam Paket,sapi,434,kentang ubi nasi merah nasi putih,menu sapi cabe garam box yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",sapi cabe garam box sapi kentang ubi nasi merah nasi putih menu sapi cabe garam box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",sapi cabe garam paket,menu sapi cabe garam box yang sehat dan lezat,protein_sapi,sapi cabe garam paket sapi kentang putih nasi ubi merah menu sapi cabe garam box yang sehat dan lezat protein_sapi,sapi cabe garam paket menu sapi cabe garam box yang sehat dan lezat nasi merah ubi putih kentang protein_sapi,sapi cabe garam paket menu sapi cabe garam box yang sehat dan lezat
258,Ayam Woku Mangkuk,ayam,391,kentang ubi nasi merah nasi putih,menu chicken woku bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken woku bowl ayam kentang ubi nasi merah nasi putih menu chicken woku bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam woku mangkuk,menu chicken woku bowl yang sehat dan lezat,protein_ayam,ayam woku mangkuk ayam kentang putih nasi ubi merah menu chicken woku bowl yang sehat dan lezat protein_ayam,ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat
259,Ayam Panggang Sambal Matah Lengkap,ayam,359,kentang nasi merah nasi putih,menu chicken grill sambal matah lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",chicken grill sambal matah lengkap ayam kentang nasi merah nasi putih menu chicken grill sambal matah lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam panggang sambal matah lengkap,menu chicken grill sambal matah lengkap yang sehat dan lezat,protein_ayam panggang,ayam panggang sambal matah lengkap ayam merah putih kentang nasi menu chicken grill sambal matah lengkap yang sehat dan lezat protein_ayam,ayam panggang sambal matah lengkap menu chicken grill sambal matah lengkap yang sehat dan lezat nasi putih kentang merah protein_ayam panggang,ayam panggang sambal matah lengkap menu chicken grill sambal matah lengkap yang sehat dan lezat
260,Ayam Lada Hitam Telur Tortila Paket,ayam,449,jagung nasi merah nasi putih,menu chicken blackpepper egg tortila box yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken blackpepper egg tortila box ayam jagung nasi merah nasi putih menu chicken blackpepper egg tortila box yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam lada hitam telur tortila paket,menu chicken blackpepper egg tortila box yang sehat dan lezat,protein_ayam blackpepper,ayam lada hitam telur tortila paket ayam jagung putih nasi merah menu chicken blackpepper egg tortila box yang sehat dan lezat protein_ayam ladahitam,ayam lada hitam telur tortila paket menu chicken blackpepper egg tortila box yang sehat dan lezat nasi putih jagung merah protein_ayam blackpepper,ayam lada hitam telur tortila paket menu chicken blackpepper egg tortila box yang sehat dan lezat
261,Ayam Bakar Padang Spesial,ayam,360,kentang nasi merah nasi putih,menu ayam bakar padang spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",ayam bakar padang spesial ayam kentang nasi merah nasi putih menu ayam bakar padang spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam bakar padang spesial,menu ayam bakar padang spesial yang sehat dan lezat,protein_ayam panggang,ayam bakar padang spesial ayam merah putih kentang nasi menu ayam bakar padang spesial yang sehat dan lezat protein_ayam panggang,ayam bakar padang spesial menu ayam bakar padang spesial yang sehat dan lezat nasi putih kentang merah protein_ayam panggang,ayam bakar padang spesial menu ayam bakar padang spesial yang sehat dan lezat
262,Ayam Maranggi Spesial,ayam,434,jagung nasi merah nasi putih,menu ayam maranggi spesial yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",ayam maranggi spesial ayam jagung nasi merah nasi putih menu ayam maranggi spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam maranggi spesial,menu ayam maranggi spesial yang sehat dan lezat,protein_ayam,ayam maranggi spesial ayam jagung putih nasi merah menu ayam maranggi spesial yang sehat dan lezat protein_ayam,ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat
263,Ayam Lada Hitam Sehat,ayam,449,jagung nasi merah kentang,menu chicken blackpepper healthy yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",chicken blackpepper healthy ayam jagung nasi merah kentang menu chicken blackpepper healthy yang sehat dan lezat,"jagung, nasi merah, kentang",ayam lada hitam sehat,menu chicken blackpepper healthy yang sehat dan lezat,protein_ayam blackpepper,ayam lada hitam sehat ayam jagung kentang nasi merah menu chicken blackpepper healthy yang sehat dan lezat protein_ayam ladahitam,ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat nasi kentang jagung merah protein_ayam blackpepper,ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat
264,Dori Katsu Saus Asam Manis Sehat,ikan,436,jagung nasi merah nasi putih,menu dori katsu saus asam manis healthy yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori katsu saus asam manis healthy ikan jagung nasi merah nasi putih menu dori katsu saus asam manis healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori katsu saus asam manis sehat,menu dori katsu saus asam manis healthy yang sehat dan lezat,protein_ikan manis,dori katsu saus asam manis sehat ikan jagung putih nasi merah menu dori katsu saus asam manis healthy yang sehat dan lezat protein_ikan manis,dori katsu saus asam manis sehat menu dori katsu saus asam manis healthy yang sehat dan lezat nasi putih jagung merah protein_ikan manis,dori katsu saus asam manis sehat menu dori katsu saus asam manis healthy yang sehat dan lezat
265,Ayam Maranggi Paket,ayam,395,kentang ubi nasi merah nasi putih,menu ayam maranggi box yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam maranggi box ayam kentang ubi nasi merah nasi putih menu ayam maranggi box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam maranggi paket,menu ayam maranggi box yang sehat dan lezat,protein_ayam,ayam maranggi paket ayam kentang putih nasi ubi merah menu ayam maranggi box yang sehat dan lezat protein_ayam,ayam maranggi paket menu ayam maranggi box yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam maranggi paket menu ayam maranggi box yang sehat dan lezat
266,Bola Daging Teriyaki Paket,sapi,355,kentang nasi merah nasi putih,menu bola daging teriyaki box yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",bola daging teriyaki box sapi kentang nasi merah nasi putih menu bola daging teriyaki box yang sehat dan lezat,"kentang, nasi merah, nasi putih",bola daging teriyaki paket,menu bola daging teriyaki box yang sehat dan lezat,protein_sapi teriyaki,bola daging teriyaki paket sapi merah putih kentang nasi menu bola daging teriyaki box yang sehat dan lezat protein_sapi teriyaki,bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat nasi putih kentang merah protein_sapi teriyaki,bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat
267,Sapi Cabe Garam Mangkuk,sapi,373,kentang nasi merah nasi putih,menu sapi cabe garam bowl yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",sapi cabe garam bowl sapi kentang nasi merah nasi putih menu sapi cabe garam bowl yang sehat dan lezat,"kentang, nasi merah, nasi putih",sapi cabe garam mangkuk,menu sapi cabe garam bowl yang sehat dan lezat,protein_sapi,sapi cabe garam mangkuk sapi merah putih kentang nasi menu sapi cabe garam bowl yang sehat dan lezat protein_sapi,sapi cabe garam mangkuk menu sapi cabe garam bowl yang sehat dan lezat nasi putih kentang merah protein_sapi,sapi cabe garam mangkuk menu sapi cabe garam bowl yang sehat dan lezat
268,Sapi Burger Diet,sapi,370,jagung nasi merah nasi putih,menu beef burger diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",beef burger diet sapi jagung nasi merah nasi putih menu beef burger diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",sapi burger diet,menu beef burger diet yang sehat dan lezat,protein_sapi,sapi burger diet sapi jagung putih nasi merah menu beef burger diet yang sehat dan lezat protein_sapi,sapi burger diet menu beef burger diet yang sehat dan lezat nasi putih jagung merah protein_sapi,sapi burger diet menu beef burger diet yang sehat dan lezat
269,Sapi Bulgogi Sehat,sapi,370,kentang nasi merah nasi putih,menu beef bulgogi healthy yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",beef bulgogi healthy sapi kentang nasi merah nasi putih menu beef bulgogi healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih",sapi bulgogi sehat,menu beef bulgogi healthy yang sehat dan lezat,protein_sapi,sapi bulgogi sehat sapi merah putih kentang nasi menu beef bulgogi healthy yang sehat dan lezat protein_sapi,sapi bulgogi sehat menu beef bulgogi healthy yang sehat dan lezat nasi putih kentang merah protein_sapi,sapi bulgogi sehat menu beef bulgogi healthy yang sehat dan lezat
270,Dori Sambal Ijo Paket,ikan,356,kentang nasi merah nasi putih,menu dori sambal ijo box yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",dori sambal ijo box ikan kentang nasi merah nasi putih menu dori sambal ijo box yang sehat dan lezat,"kentang, nasi merah, nasi putih",dori sambal ijo paket,menu dori sambal ijo box yang sehat dan lezat,protein_ikan,dori sambal ijo paket ikan merah putih kentang nasi menu dori sambal ijo box yang sehat dan lezat protein_ikan,dori sambal ijo paket menu dori sambal ijo box yang sehat dan lezat nasi putih kentang merah protein_ikan,dori sambal ijo paket menu dori sambal ijo box yang sehat dan lezat
271,Japanese Sapi Gyudon Dengan Nasi Merah Spesial,sapi,391,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",japanese beef gyudon with brown rice spesial sapi jagung nasi merah nasi putih menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih",japanese sapi gyudon dengan nasi merah spesial,menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,protein_sapi,japanese sapi gyudon dengan nasi merah spesial sapi jagung putih nasi merah menu japanese beef gyudon with brown rice spesial yang sehat dan lezat protein_sapi,japanese sapi gyudon dengan nasi merah spesial menu japanese beef gyudon with brown rice spesial yang sehat dan lezat nasi putih jagung merah protein_sapi,japanese sapi gyudon dengan nasi merah spesial menu japanese beef gyudon with brown rice spesial yang sehat dan lezat
272,Ayam Serundeng Sehat,ayam,449,kentang nasi merah nasi putih,menu ayam serundeng healthy yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",ayam serundeng healthy ayam kentang nasi merah nasi putih menu ayam serundeng healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam serundeng sehat,menu ayam serundeng healthy yang sehat dan lezat,protein_ayam,ayam serundeng sehat ayam merah putih kentang nasi menu ayam serundeng healthy yang sehat dan lezat protein_ayam,ayam serundeng sehat menu ayam serundeng healthy yang sehat dan lezat nasi putih kentang merah protein_ayam,ayam serundeng sehat menu ayam serundeng healthy yang sehat dan lezat
273,Ayam Teriyaki Panggang Lengkap,ayam,427,kentang ubi nasi merah nasi putih,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken teriyaki grill lengkap ayam kentang ubi nasi merah nasi putih menu chicken teriyaki grill lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam teriyaki panggang lengkap,menu chicken teriyaki grill lengkap yang sehat dan lezat,protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap ayam kentang putih nasi ubi merah menu chicken teriyaki grill lengkap yang sehat dan lezat protein_ayam teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat
274,Ayam Madu Sehat,ayam,360,kentang ubi nasi merah nasi putih,menu chicken honey healthy yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken honey healthy ayam kentang ubi nasi merah nasi putih menu chicken honey healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam madu sehat,menu chicken honey healthy yang sehat dan lezat,protein_ayam,ayam madu sehat ayam kentang putih nasi ubi merah menu chicken honey healthy yang sehat dan lezat protein_ayam,ayam madu sehat menu chicken honey healthy yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam madu sehat menu chicken honey healthy yang sehat dan lezat
275,Panggang Ayam Madu Premium,ayam,362,kentang nasi merah nasi putih,menu baked chicken honey premium yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",baked chicken honey premium ayam kentang nasi merah nasi putih menu baked chicken honey premium yang sehat dan lezat,"kentang, nasi merah, nasi putih",panggang ayam madu premium,menu baked chicken honey premium yang sehat dan lezat,protein_ayam panggang,panggang ayam madu premium ayam merah putih kentang nasi menu baked chicken honey premium yang sehat dan lezat protein_ayam,panggang ayam madu premium menu baked chicken honey premium yang sehat dan lezat nasi putih kentang merah protein_ayam panggang,panggang ayam madu premium menu baked chicken honey premium yang sehat dan lezat
276,Soto Ayam Spesial Diet,ayam,423,kentang nasi merah nasi putih,menu soto ayam spesial diet yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",soto ayam spesial diet ayam kentang nasi merah nasi putih menu soto ayam spesial diet yang sehat dan lezat,"kentang, nasi merah, nasi putih",soto ayam spesial diet,menu soto ayam spesial diet yang sehat dan lezat,protein_ayam,soto ayam spesial diet ayam merah putih kentang nasi menu soto ayam spesial diet yang sehat dan lezat protein_ayam,soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat nasi putih kentang merah protein_ayam,soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat
277,Panggang Ayam Dengan Lemonilo Sehat,ayam,395,kentang ubi nasi merah nasi putih,menu grilled chicken with lemonilo healthy yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",grilled chicken with lemonilo healthy ayam kentang ubi nasi merah nasi putih menu grilled chicken with lemonilo healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",panggang ayam dengan lemonilo sehat,menu grilled chicken with lemonilo healthy yang sehat dan lezat,protein_ayam panggang,panggang ayam dengan lemonilo sehat ayam kentang putih nasi ubi merah menu grilled chicken with lemonilo healthy yang sehat dan lezat protein_ayam,panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang,panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat
278,Ayam Bola Krispi Premium,ayam,364,kentang ubi nasi merah nasi putih,menu chicken ball crispy premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken ball crispy premium ayam kentang ubi nasi merah nasi putih menu chicken ball crispy premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam bola krispi premium,menu chicken ball crispy premium yang sehat dan lezat,protein_ayam,ayam bola krispi premium ayam kentang putih nasi ubi merah menu chicken ball crispy premium yang sehat dan lezat protein_ayam,ayam bola krispi premium menu chicken ball crispy premium yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam bola krispi premium menu chicken ball crispy premium yang sehat dan lezat
279,Dori Oat Saus Wijen Premium,ikan,398,jagung nasi merah nasi putih,menu dori oat saus wijen premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori oat saus wijen premium ikan jagung nasi merah nasi putih menu dori oat saus wijen premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori oat saus wijen premium,menu dori oat saus wijen premium yang sehat dan lezat,protein_ikan,dori oat saus wijen premium ikan jagung putih nasi merah menu dori oat saus wijen premium yang sehat dan lezat protein_ikan,dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat nasi putih jagung merah protein_ikan,dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat
280,Ayam Saus Mentega Diet,ayam,362,jagung nasi merah nasi putih,menu ayam saus mentega diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",ayam saus mentega diet ayam jagung nasi merah nasi putih menu ayam saus mentega diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam saus mentega diet,menu ayam saus mentega diet yang sehat dan lezat,protein_ayam,ayam saus mentega diet ayam jagung putih nasi merah menu ayam saus mentega diet yang sehat dan lezat protein_ayam,ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat
281,Dori Oat Saus Asam Manis Diet,ikan,379,kentang nasi merah nasi putih,menu dori oat saus asam manis diet yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",dori oat saus asam manis diet ikan kentang nasi merah nasi putih menu dori oat saus asam manis diet yang sehat dan lezat,"kentang, nasi merah, nasi putih",dori oat saus asam manis diet,menu dori oat saus asam manis diet yang sehat dan lezat,protein_ikan manis,dori oat saus asam manis diet ikan merah putih kentang nasi menu dori oat saus asam manis diet yang sehat dan lezat protein_ikan manis,dori oat saus asam manis diet menu dori oat saus asam manis diet yang sehat dan lezat nasi putih kentang merah protein_ikan manis,dori oat saus asam manis diet menu dori oat saus asam manis diet yang sehat dan lezat
282,Rawon Surabaya Lengkap,sapi,434,jagung nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",rawon surabaya lengkap sapi jagung nasi merah nasi putih menu rawon surabaya lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih",rawon surabaya lengkap,menu rawon surabaya lengkap yang sehat dan lezat,,rawon surabaya lengkap sapi jagung putih nasi merah menu rawon surabaya lengkap yang sehat dan lezat ,rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat nasi putih jagung merah ,rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat
283,Opor Ayam Tanpa Santan Lengkap,ayam,379,kentang ubi nasi merah nasi putih,menu opor ayam tanpa santan lengkap yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",opor ayam tanpa santan lengkap ayam kentang ubi nasi merah nasi putih menu opor ayam tanpa santan lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",opor ayam tanpa santan lengkap,menu opor ayam tanpa santan lengkap yang sehat dan lezat,protein_ayam,opor ayam tanpa santan lengkap ayam kentang putih nasi ubi merah menu opor ayam tanpa santan lengkap yang sehat dan lezat protein_ayam,opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat
284,Ayam Bola Lada Hitam Paket,ayam,449,jagung nasi merah nasi putih,menu chicken ball blackpepper box yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken ball blackpepper box ayam jagung nasi merah nasi putih menu chicken ball blackpepper box yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam bola lada hitam paket,menu chicken ball blackpepper box yang sehat dan lezat,protein_ayam blackpepper,ayam bola lada hitam paket ayam jagung putih nasi merah menu chicken ball blackpepper box yang sehat dan lezat protein_ayam ladahitam,ayam bola lada hitam paket menu chicken ball blackpepper box yang sehat dan lezat nasi putih jagung merah protein_ayam blackpepper,ayam bola lada hitam paket menu chicken ball blackpepper box yang sehat dan lezat
285,Sempol Ayam Panggang Mangkuk,ayam,434,kentang ubi nasi merah nasi putih,menu sempol ayam grill bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",sempol ayam grill bowl ayam kentang ubi nasi merah nasi putih menu sempol ayam grill bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",sempol ayam panggang mangkuk,menu sempol ayam grill bowl yang sehat dan lezat,protein_ayam panggang,sempol ayam panggang mangkuk ayam kentang putih nasi ubi merah menu sempol ayam grill bowl yang sehat dan lezat protein_ayam,sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang,sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat
286,Dori Katsu Balado Premium,ikan,436,jagung nasi merah nasi putih,menu dori katsu balado premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori katsu balado premium ikan jagung nasi merah nasi putih menu dori katsu balado premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori katsu balado premium,menu dori katsu balado premium yang sehat dan lezat,protein_ikan,dori katsu balado premium ikan jagung putih nasi merah menu dori katsu balado premium yang sehat dan lezat protein_ikan,dori katsu balado premium menu dori katsu balado premium yang sehat dan lezat nasi putih jagung merah protein_ikan,dori katsu balado premium menu dori katsu balado premium yang sehat dan lezat
287,Panggang Ayam Dietgo Sehat,ayam,395,kentang ubi nasi merah nasi putih,menu grilled chicken dietgo healthy yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",grilled chicken dietgo healthy ayam kentang ubi nasi merah nasi putih menu grilled chicken dietgo healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",panggang ayam dietgo sehat,menu grilled chicken dietgo healthy yang sehat dan lezat,protein_ayam panggang,panggang ayam dietgo sehat ayam kentang putih nasi ubi merah menu grilled chicken dietgo healthy yang sehat dan lezat protein_ayam,panggang ayam dietgo sehat menu grilled chicken dietgo healthy yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang,panggang ayam dietgo sehat menu grilled chicken dietgo healthy yang sehat dan lezat
288,Pasta Aglio Eolio Dori Stik Diet,ikan,428,jagung nasi merah nasi putih,menu pasta aglio eolio dori stick diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",pasta aglio eolio dori stick diet ikan jagung nasi merah nasi putih menu pasta aglio eolio dori stick diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",pasta aglio eolio dori stik diet,menu pasta aglio eolio dori stick diet yang sehat dan lezat,protein_ikan,pasta aglio eolio dori stik diet ikan jagung putih nasi merah menu pasta aglio eolio dori stick diet yang sehat dan lezat protein_ikan,pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat nasi putih jagung merah protein_ikan,pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat
289,Sapi Cabe Garam Lengkap,sapi,423,kentang nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",sapi cabe garam lengkap sapi kentang nasi merah nasi putih menu sapi cabe garam lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",sapi cabe garam lengkap,menu sapi cabe garam lengkap yang sehat dan lezat,protein_sapi,sapi cabe garam lengkap sapi merah putih kentang nasi menu sapi cabe garam lengkap yang sehat dan lezat protein_sapi,sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat nasi putih kentang merah protein_sapi,sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat
290,Soto Bandung Sehat,ayam,428,jagung nasi merah nasi putih,menu soto bandung healthy yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",soto bandung healthy sapi jagung nasi merah nasi putih menu soto bandung healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih",soto bandung sehat,menu soto bandung healthy yang sehat dan lezat,,soto bandung sehat ayam jagung putih nasi merah menu soto bandung healthy yang sehat dan lezat ,soto bandung sehat menu soto bandung healthy yang sehat dan lezat nasi putih jagung merah ,soto bandung sehat menu soto bandung healthy yang sehat dan lezat
291,Dengan Nasi Merah Sehat,ayam,368,kentang ubi nasi merah nasi putih,menu with brown rice healthy yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",with brown rice healthy lainnya kentang ubi nasi merah nasi putih menu with brown rice healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",dengan nasi merah sehat,menu with brown rice healthy yang sehat dan lezat,,dengan nasi merah sehat ayam kentang putih nasi ubi merah menu with brown rice healthy yang sehat dan lezat ,dengan nasi merah sehat menu with brown rice healthy yang sehat dan lezat nasi merah ubi putih kentang ,dengan nasi merah sehat menu with brown rice healthy yang sehat dan lezat
292,Dori Stik Premium,ikan,398,jagung nasi merah nasi putih,menu dori stick premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori stick premium ikan jagung nasi merah nasi putih menu dori stick premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori stik premium,menu dori stick premium yang sehat dan lezat,protein_ikan,dori stik premium ikan jagung putih nasi merah menu dori stick premium yang sehat dan lezat protein_ikan,dori stik premium menu dori stick premium yang sehat dan lezat nasi putih jagung merah protein_ikan,dori stik premium menu dori stick premium yang sehat dan lezat
293,Ayam Sambel Geprek Mangkuk,ayam,418,kentang nasi merah nasi putih,menu ayam sambel geprek bowl yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",ayam sambel geprek bowl ayam kentang nasi merah nasi putih menu ayam sambel geprek bowl yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam sambel geprek mangkuk,menu ayam sambel geprek bowl yang sehat dan lezat,protein_ayam,ayam sambel geprek mangkuk ayam merah putih kentang nasi menu ayam sambel geprek bowl yang sehat dan lezat protein_ayam,ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat nasi putih kentang merah protein_ayam,ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat
294,Sapi Yakiniku Spesial,sapi,355,kentang nasi merah nasi putih,menu beef yakiniku spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",beef yakiniku spesial sapi kentang nasi merah nasi putih menu beef yakiniku spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",sapi yakiniku spesial,menu beef yakiniku spesial yang sehat dan lezat,protein_sapi,sapi yakiniku spesial sapi merah putih kentang nasi menu beef yakiniku spesial yang sehat dan lezat protein_sapi,sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat nasi putih kentang merah protein_sapi,sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat
