No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean
194,chicken crispy saus barbeque lengkap,ayam,427,kentang nasi merah nasi putih,menu chicken crispy saus barbeque lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken crispy saus barbeque lengkap ayam kentang nasi merah nasi putih menu chicken crispy saus barbeque lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
195,chicken patty crispy bowl,ayam,379,jagung nasi merah nasi putih,menu chicken patty crispy bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken patty crispy bowl ayam jagung nasi merah nasi putih menu chicken patty crispy bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
196,chicken ball crispy lengkap,ayam,373,kentang ubi nasi merah nasi putih,menu chicken ball crispy lengkap yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken ball crispy lengkap ayam kentang ubi nasi merah nasi putih menu chicken ball crispy lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
197,gulai ikan healthy,ikan,356,jagung nasi merah nasi putih,menu gulai ikan healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",gulai ikan healthy ikan jagung nasi merah nasi putih menu gulai ikan healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
198,bola daging teriyaki box,sapi,434,kentang ubi nasi merah nasi putih,menu bola daging teriyaki box yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",bola daging teriyaki box sapi kentang ubi nasi merah nasi putih menu bola daging teriyaki box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
199,bola daging saus lada hitam diet,sapi,434,jagung nasi merah nasi putih,menu bola daging saus lada hitam diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",bola daging saus lada hitam diet sapi jagung nasi merah nasi putih menu bola daging saus lada hitam diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
200,japanese beef gyudon with lemonilo premium,sapi,423,kentang nasi merah nasi putih,menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",japanese beef gyudon with lemonilo premium sapi kentang nasi merah nasi putih menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
201,fish stick saus wijen premium,ikan,369,jagung nasi merah nasi putih,menu fish stick saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",fish stick saus wijen premium ikan jagung nasi merah nasi putih menu fish stick saus wijen premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
202,beef burger diet,sapi,410,kentang ubi nasi merah nasi putih,menu beef burger diet yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",beef burger diet sapi kentang ubi nasi merah nasi putih menu beef burger diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
203,chicken ball blackpepper box,ayam,425,jagung nasi merah nasi putih,menu chicken ball blackpepper box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken ball blackpepper box ayam jagung nasi merah nasi putih menu chicken ball blackpepper box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
204,japanese beef gyudon with brown rice spesial,sapi,428,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",japanese beef gyudon with brown rice spesial sapi jagung nasi merah nasi putih menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih"
205,chicken teriyaki grill healthy,ayam,437,kentang ubi nasi merah nasi putih,menu chicken teriyaki grill healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken teriyaki grill healthy ayam kentang ubi nasi merah nasi putih menu chicken teriyaki grill healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
206,rawon surabaya lengkap,sapi,447,kentang nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",rawon surabaya lengkap sapi kentang nasi merah nasi putih menu rawon surabaya lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
207,dori oat saus asam manis diet,ikan,423,jagung nasi merah nasi putih,menu dori oat saus asam manis diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori oat saus asam manis diet ikan jagung nasi merah nasi putih menu dori oat saus asam manis diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
208,chicken katsu premium,ayam,447,kentang nasi merah nasi putih,menu chicken katsu premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken katsu premium ayam kentang nasi merah nasi putih menu chicken katsu premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
209,soto bandung healthy,sapi,355,jagung nasi merah nasi putih,menu soto bandung healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",soto bandung healthy sapi jagung nasi merah nasi putih menu soto bandung healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
210,bola ayam saus asam pedas box,ayam,434,jagung nasi merah nasi putih,menu bola ayam saus asam pedas box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",bola ayam saus asam pedas box ayam jagung nasi merah nasi putih menu bola ayam saus asam pedas box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
211,dori katsu balado premium,ikan,447,kentang ubi nasi merah nasi putih,menu dori katsu balado premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori katsu balado premium ikan kentang ubi nasi merah nasi putih menu dori katsu balado premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
212,sapi cabe garam lengkap,sapi,447,kentang nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",sapi cabe garam lengkap sapi kentang nasi merah nasi putih menu sapi cabe garam lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
213,soto ayam spesial diet,ayam,430,kentang nasi merah nasi putih,menu soto ayam spesial diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",soto ayam spesial diet ayam kentang nasi merah nasi putih menu soto ayam spesial diet yang sehat dan lezat,"kentang, nasi merah, nasi putih"
214,chicken rolade healthy,ayam,449,jagung nasi merah nasi putih,menu chicken rolade healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken rolade healthy ayam jagung nasi merah nasi putih menu chicken rolade healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
215,chicken karage saus korea lengkap,ayam,379,kentang nasi merah nasi putih,menu chicken karage saus korea lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken karage saus korea lengkap ayam kentang nasi merah nasi putih menu chicken karage saus korea lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
216,dori sambal matah healthy,ikan,392,kentang ubi nasi merah nasi putih,menu dori sambal matah healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori sambal matah healthy ikan kentang ubi nasi merah nasi putih menu dori sambal matah healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
217,ayam with brown rice lengkap,ayam,437,jagung nasi merah nasi putih,menu ayam with brown rice lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",ayam with brown rice lengkap ayam jagung nasi merah nasi putih menu ayam with brown rice lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih"
218,chicken woku bowl,ayam,395,kentang ubi nasi merah nasi putih,menu chicken woku bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken woku bowl ayam kentang ubi nasi merah nasi putih menu chicken woku bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
219,ayam saus mentega box,ayam,351,kentang nasi merah nasi putih,menu ayam saus mentega box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",ayam saus mentega box ayam kentang nasi merah nasi putih menu ayam saus mentega box yang sehat dan lezat,"kentang, nasi merah, nasi putih"
220,bola ayam crispy healthy,ayam,418,kentang ubi nasi merah nasi putih,menu bola ayam crispy healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",bola ayam crispy healthy ayam kentang ubi nasi merah nasi putih menu bola ayam crispy healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
221,dori cabe garam bowl,ikan,436,jagung nasi merah nasi putih,menu dori cabe garam bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori cabe garam bowl ikan jagung nasi merah nasi putih menu dori cabe garam bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
222,ayam maranggi spesial,ayam,427,kentang nasi merah nasi putih,menu ayam maranggi spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",ayam maranggi spesial ayam kentang nasi merah nasi putih menu ayam maranggi spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih"
223,healthy fried chicken diet,ayam,355,jagung nasi merah nasi putih,menu healthy fried chicken diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",healthy fried chicken diet ayam jagung nasi merah nasi putih menu healthy fried chicken diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
224,sapi cabe garam bowl,sapi,430,jagung nasi merah nasi putih,menu sapi cabe garam bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",sapi cabe garam bowl sapi jagung nasi merah nasi putih menu sapi cabe garam bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
225,sapi cabe garam lengkap,sapi,434,jagung nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",sapi cabe garam lengkap sapi jagung nasi merah nasi putih menu sapi cabe garam lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih"
226,dori katsu lengkap,ikan,373,kentang nasi merah nasi putih,menu dori katsu lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",dori katsu lengkap ikan kentang nasi merah nasi putih menu dori katsu lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
227,ayam saus wijen premium,ayam,360,jagung nasi merah nasi putih,menu ayam saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",ayam saus wijen premium ayam jagung nasi merah nasi putih menu ayam saus wijen premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
228,ayam cabe ijo lengkap,ayam,369,jagung nasi merah nasi putih,menu ayam cabe ijo lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",ayam cabe ijo lengkap ayam jagung nasi merah nasi putih menu ayam cabe ijo lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih"
229,beef tofu teriyaki bowl,sapi,436,jagung nasi merah nasi putih,menu beef tofu teriyaki bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",beef tofu teriyaki bowl sapi jagung nasi merah nasi putih menu beef tofu teriyaki bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
230,dori sambal ijo box,ikan,368,jagung nasi merah nasi putih,menu dori sambal ijo box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori sambal ijo box ikan jagung nasi merah nasi putih menu dori sambal ijo box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
231,chicken grill sambal matah healthy,ayam,379,jagung nasi merah nasi putih,menu chicken grill sambal matah healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken grill sambal matah healthy ayam jagung nasi merah nasi putih menu chicken grill sambal matah healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
232,with brown rice healthy,lainnya,369,jagung nasi merah nasi putih,menu with brown rice healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",with brown rice healthy lainnya jagung nasi merah nasi putih menu with brown rice healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
233,tumis ayam paprika box,ayam,434,kentang nasi merah nasi putih,menu tumis ayam paprika box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",tumis ayam paprika box ayam kentang nasi merah nasi putih menu tumis ayam paprika box yang sehat dan lezat,"kentang, nasi merah, nasi putih"
234,baked chicken honey premium,ayam,418,kentang nasi merah nasi putih,menu baked chicken honey premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",baked chicken honey premium ayam kentang nasi merah nasi putih menu baked chicken honey premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
235,sei sapi with brown rice spesial,sapi,395,kentang nasi merah nasi putih,menu sei sapi with brown rice spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",sei sapi with brown rice spesial sapi kentang nasi merah nasi putih menu sei sapi with brown rice spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih"
236,chicken ball crispy box,ayam,413,jagung nasi merah nasi putih,menu chicken ball crispy box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken ball crispy box ayam jagung nasi merah nasi putih menu chicken ball crispy box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
237,beef yakiniku box,sapi,355,kentang ubi nasi merah nasi putih,menu beef yakiniku box yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",beef yakiniku box sapi kentang ubi nasi merah nasi putih menu beef yakiniku box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
238,chicken honey healthy,ayam,364,kentang nasi merah nasi putih,menu chicken honey healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken honey healthy ayam kentang nasi merah nasi putih menu chicken honey healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih"
239,sempol ayam grill bowl,ayam,360,jagung nasi merah nasi putih,menu sempol ayam grill bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",sempol ayam grill bowl ayam jagung nasi merah nasi putih menu sempol ayam grill bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
240,beef bulgogi healthy,sapi,430,kentang ubi nasi merah nasi putih,menu beef bulgogi healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",beef bulgogi healthy sapi kentang ubi nasi merah nasi putih menu beef bulgogi healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
241,chicken herbs grill egg tortila bowl,ayam,449,jagung nasi merah nasi putih,menu chicken herbs grill egg tortila bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken herbs grill egg tortila bowl ayam jagung nasi merah nasi putih menu chicken herbs grill egg tortila bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
242,beef tofu teriyaki lengkap,sapi,437,jagung nasi merah nasi putih,menu beef tofu teriyaki lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",beef tofu teriyaki lengkap sapi jagung nasi merah nasi putih menu beef tofu teriyaki lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih"
243,chicken ball woku lengkap,ayam,364,kentang nasi merah nasi putih,menu chicken ball woku lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken ball woku lengkap ayam kentang nasi merah nasi putih menu chicken ball woku lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
244,chicken teriyaki grill healthy,ayam,437,kentang nasi merah nasi putih,menu chicken teriyaki grill healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken teriyaki grill healthy ayam kentang nasi merah nasi putih menu chicken teriyaki grill healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih"
245,dori saus mentega diet,ikan,439,jagung nasi merah nasi putih,menu dori saus mentega diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori saus mentega diet ikan jagung nasi merah nasi putih menu dori saus mentega diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
246,grilled chicken dietgo healthy,ayam,425,jagung nasi merah nasi putih,menu grilled chicken dietgo healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",grilled chicken dietgo healthy ayam jagung nasi merah nasi putih menu grilled chicken dietgo healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
247,dori cabe garam premium,ikan,369,jagung nasi merah nasi putih,menu dori cabe garam premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori cabe garam premium ikan jagung nasi merah nasi putih menu dori cabe garam premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
248,japanese beef gyudon with lemonilo premium,sapi,410,kentang ubi nasi merah nasi putih,menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",japanese beef gyudon with lemonilo premium sapi kentang ubi nasi merah nasi putih menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
249,ayam serundeng healthy,ayam,425,jagung nasi merah nasi putih,menu ayam serundeng healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",ayam serundeng healthy ayam jagung nasi merah nasi putih menu ayam serundeng healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
250,chicken blackpepper lengkap,ayam,423,kentang nasi merah nasi putih,menu chicken blackpepper lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken blackpepper lengkap ayam kentang nasi merah nasi putih menu chicken blackpepper lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
251,fish stick saus korea diet,ikan,436,jagung nasi merah nasi putih,menu fish stick saus korea diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",fish stick saus korea diet ikan jagung nasi merah nasi putih menu fish stick saus korea diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
252,chicken ball crispy premium,ayam,427,kentang nasi merah nasi putih,menu chicken ball crispy premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken ball crispy premium ayam kentang nasi merah nasi putih menu chicken ball crispy premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
253,dori salted egg diet,ikan,423,kentang ubi nasi merah nasi putih,menu dori salted egg diet yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori salted egg diet ikan kentang ubi nasi merah nasi putih menu dori salted egg diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
254,chicken tomyum healthy,ayam,379,kentang ubi nasi merah nasi putih,menu chicken tomyum healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken tomyum healthy ayam kentang ubi nasi merah nasi putih menu chicken tomyum healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
255,with brown rice box,lainnya,418,jagung nasi merah nasi putih,menu with brown rice box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",with brown rice box lainnya jagung nasi merah nasi putih menu with brown rice box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
256,chicken patty crispy bowl,ayam,449,jagung nasi merah nasi putih,menu chicken patty crispy bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken patty crispy bowl ayam jagung nasi merah nasi putih menu chicken patty crispy bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
257,sapi cabe garam box,sapi,434,kentang ubi nasi merah nasi putih,menu sapi cabe garam box yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",sapi cabe garam box sapi kentang ubi nasi merah nasi putih menu sapi cabe garam box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
258,chicken woku bowl,ayam,391,kentang ubi nasi merah nasi putih,menu chicken woku bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken woku bowl ayam kentang ubi nasi merah nasi putih menu chicken woku bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
259,chicken grill sambal matah lengkap,ayam,359,kentang nasi merah nasi putih,menu chicken grill sambal matah lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",chicken grill sambal matah lengkap ayam kentang nasi merah nasi putih menu chicken grill sambal matah lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
260,chicken blackpepper egg tortila box,ayam,449,jagung nasi merah nasi putih,menu chicken blackpepper egg tortila box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken blackpepper egg tortila box ayam jagung nasi merah nasi putih menu chicken blackpepper egg tortila box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
261,ayam bakar padang spesial,ayam,360,kentang nasi merah nasi putih,menu ayam bakar padang spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",ayam bakar padang spesial ayam kentang nasi merah nasi putih menu ayam bakar padang spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih"
262,ayam maranggi spesial,ayam,434,jagung nasi merah nasi putih,menu ayam maranggi spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",ayam maranggi spesial ayam jagung nasi merah nasi putih menu ayam maranggi spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih"
263,chicken blackpepper healthy,ayam,449,jagung nasi merah kentang,menu chicken blackpepper healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",chicken blackpepper healthy ayam jagung nasi merah kentang menu chicken blackpepper healthy yang sehat dan lezat,"jagung, nasi merah, kentang"
264,dori katsu saus asam manis healthy,ikan,436,jagung nasi merah nasi putih,menu dori katsu saus asam manis healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori katsu saus asam manis healthy ikan jagung nasi merah nasi putih menu dori katsu saus asam manis healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
265,ayam maranggi box,ayam,395,kentang ubi nasi merah nasi putih,menu ayam maranggi box yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",ayam maranggi box ayam kentang ubi nasi merah nasi putih menu ayam maranggi box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
266,bola daging teriyaki box,sapi,355,kentang nasi merah nasi putih,menu bola daging teriyaki box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",bola daging teriyaki box sapi kentang nasi merah nasi putih menu bola daging teriyaki box yang sehat dan lezat,"kentang, nasi merah, nasi putih"
267,sapi cabe garam bowl,sapi,373,kentang nasi merah nasi putih,menu sapi cabe garam bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",sapi cabe garam bowl sapi kentang nasi merah nasi putih menu sapi cabe garam bowl yang sehat dan lezat,"kentang, nasi merah, nasi putih"
268,beef burger diet,sapi,370,jagung nasi merah nasi putih,menu beef burger diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",beef burger diet sapi jagung nasi merah nasi putih menu beef burger diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
269,beef bulgogi healthy,sapi,370,kentang nasi merah nasi putih,menu beef bulgogi healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",beef bulgogi healthy sapi kentang nasi merah nasi putih menu beef bulgogi healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih"
270,dori sambal ijo box,ikan,356,kentang nasi merah nasi putih,menu dori sambal ijo box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",dori sambal ijo box ikan kentang nasi merah nasi putih menu dori sambal ijo box yang sehat dan lezat,"kentang, nasi merah, nasi putih"
271,japanese beef gyudon with brown rice spesial,sapi,391,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",japanese beef gyudon with brown rice spesial sapi jagung nasi merah nasi putih menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih"
272,ayam serundeng healthy,ayam,449,kentang nasi merah nasi putih,menu ayam serundeng healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",ayam serundeng healthy ayam kentang nasi merah nasi putih menu ayam serundeng healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih"
273,chicken teriyaki grill lengkap,ayam,427,kentang ubi nasi merah nasi putih,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken teriyaki grill lengkap ayam kentang ubi nasi merah nasi putih menu chicken teriyaki grill lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
274,chicken honey healthy,ayam,360,kentang ubi nasi merah nasi putih,menu chicken honey healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken honey healthy ayam kentang ubi nasi merah nasi putih menu chicken honey healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
275,baked chicken honey premium,ayam,362,kentang nasi merah nasi putih,menu baked chicken honey premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",baked chicken honey premium ayam kentang nasi merah nasi putih menu baked chicken honey premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
276,soto ayam spesial diet,ayam,423,kentang nasi merah nasi putih,menu soto ayam spesial diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",soto ayam spesial diet ayam kentang nasi merah nasi putih menu soto ayam spesial diet yang sehat dan lezat,"kentang, nasi merah, nasi putih"
277,grilled chicken with lemonilo healthy,ayam,395,kentang ubi nasi merah nasi putih,menu grilled chicken with lemonilo healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",grilled chicken with lemonilo healthy ayam kentang ubi nasi merah nasi putih menu grilled chicken with lemonilo healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
278,chicken ball crispy premium,ayam,364,kentang ubi nasi merah nasi putih,menu chicken ball crispy premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken ball crispy premium ayam kentang ubi nasi merah nasi putih menu chicken ball crispy premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
279,dori oat saus wijen premium,ikan,398,jagung nasi merah nasi putih,menu dori oat saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori oat saus wijen premium ikan jagung nasi merah nasi putih menu dori oat saus wijen premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
280,ayam saus mentega diet,ayam,362,jagung nasi merah nasi putih,menu ayam saus mentega diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",ayam saus mentega diet ayam jagung nasi merah nasi putih menu ayam saus mentega diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
281,dori oat saus asam manis diet,ikan,379,kentang nasi merah nasi putih,menu dori oat saus asam manis diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",dori oat saus asam manis diet ikan kentang nasi merah nasi putih menu dori oat saus asam manis diet yang sehat dan lezat,"kentang, nasi merah, nasi putih"
282,rawon surabaya lengkap,sapi,434,jagung nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",rawon surabaya lengkap sapi jagung nasi merah nasi putih menu rawon surabaya lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih"
283,opor ayam tanpa santan lengkap,ayam,379,kentang ubi nasi merah nasi putih,menu opor ayam tanpa santan lengkap yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",opor ayam tanpa santan lengkap ayam kentang ubi nasi merah nasi putih menu opor ayam tanpa santan lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
